commodity,value_bd
Bleached Uniformly Throughout The Mass And Of Which More Than 95 By Weight Of The Total Fibre Content Consists Of Wood Fibres Obtained By A Chemical Process,15.89
"Bleached Uniformly Throughout The Mass And Of Which More Than 95Prcnt By Weight Of The Total Fibre Content Consists Of Wood Fibres Obtained By A Chemical Proce Process, And Weighing More Than 150 G/M2",3645.982
"Bleached Uniformly Throughout The Mass And Of Which More Than 95Prcnt By Weight Of The Total Fibre Content Consists Of Wood Fibres Obtained By A Chemical Process, And Weighing L 50 G/M2 Or Less",13735.206
"Blinds For Means Of Transportation, Cotton, Not Knitted",5167.14
"Blinds For Transportation, Synthetic, Not Knitted",1503.2930000000001
Blockboard With At Least One Outer Ply Of Non-Coniferous Wood,21180.038
"Blockboard, Laminboard And Battenboard ،With At Least One Outer Ply Of Tropical Wood",119870.932
Blood Test Tools And Devices,301352.45800000004
Blood-Grouping Reagents,330841.639
Blow Lamps,6158.726
Blow Molding Machines,421829.91800000006
"Blue Whitings (Micromesistius Poutassou, Micromesistius Australis), Frozen",1055.064
Blue-Veined Cheese,46165.242
"Boards, Panels And Other Parts For Electrical Control",3111037.8619999997
"Boards, Sheets, Panels And Similar Articles, Ornamented",82601.193
Boat Or Deck Fenders Of Rubber,133582.02599999998
"Boats, Warships Of All Kind And Lifeboats",58115.79
"Bobbins, Cones, Etc., For Winding Textile",2991.003
Bodies For Garbage Collection Vehicles,192503.925
Bodies For Light Transportation Trucks,2687.85
Bodies For Motor Cars,2439.38
Bodies For Pickups,30156.1
Bodies Of Tractors Falling Under Heading 87.01,9.086
Body Chassis G.V.W. Exceeding 5 Tonnes But Not Exceeding 20 Tonnes,76053.56
"Bolting Cloth, Whether Or Not Made Up",21412.709
Bolts Or Nuts Release Preparations,281.311
"Bonded Carpets Of Fibers, Carded, Assembled By Rubber",49875.563
